Effective date,S&P Retail Select Industry Index
2019-11-18,4649.18
2019-11-19,4558.63
2019-11-20,4497.59
2019-11-21,4488.41
2019-11-22,4546.08
2019-11-25,4620.75
2019-11-26,4651.74
2019-11-27,4674.51
2019-11-29,4634.25
2019-12-02,4584.95
2019-12-03,4519.74
2019-12-04,4551.19
2019-12-05,4536.14
2019-12-06,4640.88
2019-12-09,4659.21
2019-12-10,4655.8
2019-12-11,4624.85
2019-12-12,4706.77
2019-12-13,4614.11
2019-12-16,4611.03
2019-12-17,4665.61
2019-12-18,4711.99
2019-12-19,4735.71
2019-12-20,4742.58
2019-12-23,4723.69
2019-12-24,4747.07
2019-12-26,4782.51
2019-12-27,4802.07
2019-12-30,4764.69
2019-12-31,4776.56
2020-01-02,4736.69
2020-01-03,4704.12
2020-01-06,4718.07
2020-01-07,4703.92
2020-01-08,4705.89
2020-01-09,4687.58
2020-01-10,4670.16
2020-01-13,4702.65
2020-01-14,4727.26
2020-01-15,4696.07
2020-01-16,4763.47
2020-01-17,4756.91
2020-01-21,4727.44
2020-01-22,4710.14
2020-01-23,4711.58
2020-01-24,4650.07
2020-01-27,4607.05
2020-01-28,4634.98
2020-01-29,4622.74
2020-01-30,4594.95
2020-01-31,4460.9
2020-02-03,4509.23
2020-02-04,4543.94
2020-02-05,4646.73
2020-02-06,4615.63
2020-02-07,4547.25
2020-02-10,4561.8
2020-02-11,4598.68
2020-02-12,4673.07
2020-02-13,4656.39
2020-02-14,4643.97
2020-02-18,4663.71
2020-02-19,4674.31
2020-02-20,4774.68
2020-02-21,4740.66
2020-02-24,4570.67
2020-02-25,4417.97
2020-02-26,4315.25
2020-02-27,4195.98
2020-02-28,4169.2
2020-03-02,4231.55
2020-03-03,4141.61
2020-03-04,4251.21
2020-03-05,4092.98
2020-03-06,4048.35
2020-03-09,3826.67
2020-03-10,3896.61
2020-03-11,3614.97
2020-03-12,3171.43
2020-03-13,3388.01
2020-03-16,2967.37
2020-03-17,3112.38
2020-03-18,2878.92
2020-03-19,3018.23
2020-03-20,2880.89
2020-03-23,2802.93
2020-03-24,3086.3
2020-03-25,3136.15
2020-03-26,3238.15
2020-03-27,3112.08
2020-03-30,3113.32
2020-03-31,3088.12
2020-04-01,2908.43
2020-04-02,2869.4
2020-04-03,2823.4
2020-04-06,3133.44
2020-04-07,3212.96
2020-04-08,3360.56
2020-04-09,3482.01
2020-04-13,3448.4
2020-04-14,3573.14
2020-04-15,3427.44
2020-04-16,3419.87
2020-04-17,3563.23
2020-04-20,3521.99
2020-04-21,3436.97
2020-04-22,3450.76
2020-04-23,3478.99
2020-04-24,3577.58
2020-04-27,3767.26
2020-04-28,3815.25
2020-04-29,3939.55
2020-04-30,3804.85
2020-05-01,3692.87
2020-05-04,3715.15
2020-05-05,3750.96
2020-05-06,3762.36
2020-05-07,3785.34
2020-05-08,3943.75
2020-05-11,3936.22
2020-05-12,3830.91
2020-05-13,3731.65
2020-05-14,3751.92
2020-05-15,3829.55
2020-05-18,3996.72
2020-05-19,3941.42
2020-05-20,3960.66
2020-05-21,4041.27
2020-05-22,4058.27
2020-05-26,4170.89
2020-05-27,4315.76
2020-05-28,4215.04
2020-05-29,4227.21
2020-06-01,4254.36
2020-06-02,4355.66
2020-06-03,4473.02
2020-06-04,4487.06
2020-06-05,4595.3
2020-06-08,4698.4
2020-06-09,4577.19
2020-06-10,4473.07
2020-06-11,4224.99
2020-06-12,4276.24
2020-06-15,4328.29
2020-06-16,4457.71
2020-06-17,4423.38
2020-06-18,4415.66
2020-06-19,4368.73
2020-06-22,4466.89
2020-06-23,4470.24
2020-06-24,4312.34
2020-06-25,4337.87
2020-06-26,4282
2020-06-29,4431.45
2020-06-30,4446.83
2020-07-01,4464.96
2020-07-02,4503.57
2020-07-06,4587.81
2020-07-07,4540.86
2020-07-08,4595.43
2020-07-09,4512.11
2020-07-10,4574.76
2020-07-13,4467.49
2020-07-14,4557.14
2020-07-15,4707.8
2020-07-16,4739.59
2020-07-17,4697.13
2020-07-20,4666.87
2020-07-21,4779.75
2020-07-22,4856.59
2020-07-23,4841.43
2020-07-24,4788.61
2020-07-27,4841.98
2020-07-28,4820.31
2020-07-29,4962.85
2020-07-30,4941.95
2020-07-31,4911.21
2020-08-03,5003.93
2020-08-04,5078.77
2020-08-05,5203.8
2020-08-06,5149.21
2020-08-07,5256.39
2020-08-10,5286.36
2020-08-11,5254.91
2020-08-12,5296.2
2020-08-13,5309.45
2020-08-14,5342.99
2020-08-17,5465.86
2020-08-18,5420.67
2020-08-19,5428.09
2020-08-20,5370.68
2020-08-21,5385.88
2020-08-24,5476.88
2020-08-25,5458.1
2020-08-26,5483.44
2020-08-27,5443.29
2020-08-28,5450.73
2020-08-31,5374.45
2020-09-01,5491.4
2020-09-02,5528
2020-09-03,5328.67
2020-09-04,5283.54
2020-09-08,5205.53
2020-09-09,5294.9
2020-09-10,5231.7
2020-09-11,5162.2
2020-09-14,5279.33
2020-09-15,5267.74
2020-09-16,5288.17
2020-09-17,5240.52
2020-09-18,5224.25
2020-09-21,5122.86
2020-09-22,5257.06
2020-09-23,5118.43
2020-09-24,5040.42
2020-09-25,5080.68
2020-09-28,5202
2020-09-29,5125.46
2020-09-30,5157
2020-10-01,5297.76
2020-10-02,5327.5
2020-10-05,5480.38
2020-10-06,5375.35
2020-10-07,5524.3
2020-10-08,5607.89
2020-10-09,5610.23
2020-10-12,5616.64
2020-10-13,5662.14
2020-10-14,5618.58
2020-10-15,5702.18
2020-10-16,5642.65
2020-10-19,5577.22
2020-10-20,5585.62
2020-10-21,5546.7
2020-10-22,5602.66
2020-10-23,5646.35
2020-10-26,5507.27
2020-10-27,5488.35
2020-10-28,5352.45
2020-10-29,5320.24
2020-10-30,5175.56
2020-11-02,5261.56
2020-11-03,5447.82
2020-11-04,5432.82
2020-11-05,5604.05
2020-11-06,5576.61
2020-11-09,5637.3
2020-11-10,5675.3
2020-11-11,5675.07
2020-11-12,5552.54
2020-11-13,5668.85
2020-11-16,5817.48
2020-11-17,5838.38
2020-11-18,5844.28
2020-11-19,5980.08
2020-11-20,5974.9
2020-11-23,6197.58
2020-11-24,6308.64
2020-11-25,6300.97
2020-11-27,6356.42
2020-11-30,6239.56
2020-12-01,6307.7
2020-12-02,6312.63
2020-12-03,6382.94
2020-12-04,6455.33
2020-12-07,6422.64
2020-12-08,6466.89
2020-12-09,6430.87
2020-12-10,6427.78
2020-12-11,6358.73
2020-12-14,6287.13
2020-12-15,6448.95
2020-12-16,6468.04
2020-12-17,6592.7
2020-12-18,6561.85
2020-12-21,6597.46
2020-12-22,6690.96
2020-12-23,6738.39
2020-12-24,6736.6
2020-12-28,6773.03
2020-12-29,6688.87
2020-12-30,6754.28
2020-12-31,6690.95
2021-01-04,6609.54
2021-01-05,6761.85
2021-01-06,7036.66
2021-01-07,7090.02
2021-01-08,7094.7
2021-01-11,7242.58
2021-01-12,7471.22
2021-01-13,7442.34
2021-01-14,7671.41
2021-01-15,7492.67
2021-01-19,7525.76
2021-01-20,7554.71
2021-01-21,7611.28
2021-01-22,7793.66
2021-01-25,7921.28
2021-01-26,8483.79
2021-01-27,9501.79
2021-01-28,8521.74
2021-01-29,9129.05
2021-02-01,8621.53
2021-02-02,7905.17
2021-02-03,8059.66
2021-02-04,8028.9
2021-02-05,8203.52
2021-02-08,8323.47
2021-02-09,8285.53
2021-02-10,8268.65
2021-02-11,8322.9
2021-02-12,8314.36
2021-02-16,8291.6
2021-02-17,8215.1
2021-02-18,8106.39
2021-02-19,8224.02
2021-02-22,8231.47
2021-02-23,8108.67
2021-02-24,8469.56
2021-02-25,8270.53
2021-02-26,8244.21
2021-03-01,8665.58
2021-03-02,8517.68
2021-03-03,8474.67
2021-03-04,8318.81
2021-03-05,8501.3
2021-03-08,9015.99
2021-03-09,9374.68
2021-03-10,9567
2021-03-11,9678.67
2021-03-12,9819.94
2021-03-15,9721.03
2021-03-16,9515.8
2021-03-17,9600.21
2021-03-18,9350.45
2021-03-19,9468.56
2021-03-22,9377.58
2021-03-23,9087
2021-03-24,8762.13
2021-03-25,9034.61
2021-03-26,9238.31
2021-03-29,9055.33
2021-03-30,9241.38
2021-03-31,9271.7
2021-04-01,9324.01
2021-04-05,9416.5
2021-04-06,9450.68
2021-04-07,9377.52
2021-04-08,9457.35
2021-04-09,9596.97
2021-04-12,9646.43
2021-04-13,9578.26
2021-04-14,9594.82
2021-04-15,9624.49
2021-04-16,9656.89
2021-04-19,9533.9
2021-04-20,9320.31
2021-04-21,9485.69
2021-04-22,9493.55
2021-04-23,9706.1
2021-04-26,9638.58
2021-04-27,9764.65
2021-04-28,9792.98
2021-04-29,9787.16
2021-04-30,9663.96
2021-05-03,9854.75
2021-05-04,9773.75
2021-05-05,9775.96
2021-05-06,9798.6
2021-05-07,9904.17
2021-05-10,9743.09
2021-05-11,9650.38
2021-05-12,9171.2
2021-05-13,9330.32
2021-05-14,9721.07
2021-05-17,9828.58
2021-05-18,9736.24
2021-05-19,9504.41
2021-05-20,9459.03
2021-05-21,9476.05
2021-05-24,9505.23
2021-05-25,9467.66
2021-05-26,9749.52
2021-05-27,9832.79
2021-05-28,9723.71
2021-06-01,9867.17
2021-06-02,9967.36
2021-06-03,9794.69
2021-06-04,9779.78
2021-06-07,9879.39
2021-06-08,10050.09
2021-06-09,9970.1
2021-06-10,9861.98
2021-06-11,10039.64
2021-06-14,9963.21
2021-06-15,9817.23
2021-06-16,9829.18
2021-06-17,9726.03
2021-06-18,9545.98
2021-06-21,9758.82
2021-06-22,9930.65
2021-06-23,10025.79
2021-06-24,10103.58
2021-06-25,10158.7
2021-06-28,10085.15
2021-06-29,10053.02
2021-06-30,10120.7
2021-07-01,10216.96
2021-07-02,10166.79
2021-07-06,9991.73
2021-07-07,9865.07
2021-07-08,9813.64
2021-07-09,10187.69
2021-07-12,10203.12
2021-07-13,10033.33
2021-07-14,9910.38
2021-07-15,9767.53
2021-07-16,9622.94
2021-07-19,9522.05
2021-07-20,9836.29
2021-07-21,10024.59
2021-07-22,9915.71
2021-07-23,9999.43
2021-07-26,10042.92
2021-07-27,9911.45
2021-07-28,9917.92
2021-07-29,9992.39
2021-07-30,9924.07
2021-08-02,9912.22
2021-08-03,10011.05
2021-08-04,9739.69
2021-08-05,9858.68
2021-08-06,9885.11
2021-08-09,9878.97
2021-08-10,10107.46
2021-08-11,10140.66
2021-08-12,10071.61
2021-08-13,9965.35
2021-08-16,9972.52
2021-08-17,9681.32
2021-08-18,9644.07
2021-08-19,9649.15
2021-08-20,9810.76
2021-08-23,9914.83
2021-08-24,10120.37
2021-08-25,10108.05
2021-08-26,9935.09
2021-08-27,10012.25
2021-08-30,10029.56
2021-08-31,9986.58
2021-09-01,10053.34
2021-09-02,9995.14
2021-09-03,9954.77
2021-09-07,9821.99
2021-09-08,9713.8
2021-09-09,9806.55
2021-09-10,9657.98
2021-09-13,9624.34
2021-09-14,9525.71
2021-09-15,9664.73
2021-09-16,9795.75
2021-09-17,9814.35
2021-09-20,9647.18
2021-09-21,9632.84
2021-09-22,9814.69
2021-09-23,9931.71
2021-09-24,9892.41
2021-09-27,10064.44
2021-09-28,9879.3
2021-09-29,9882.57
2021-09-30,9416.62
2021-10-01,9504
2021-10-04,9428.22
2021-10-05,9399.37
2021-10-06,9342.36
2021-10-07,9545.53
2021-10-08,9464.79
2021-10-11,9280.35
2021-10-12,9362.44
2021-10-13,9418.29
2021-10-14,9555.86
2021-10-15,9555.03
2021-10-18,9728.7
2021-10-19,9683.2
2021-10-20,9722.95
2021-10-21,9893.53
2021-10-22,9839.77
2021-10-25,9998.55
2021-10-26,9799.93
2021-10-27,9580.25
2021-10-28,9752.36
2021-10-29,9819.07
2021-11-01,10047.43
2021-11-02,10106.89
2021-11-03,10495.7
2021-11-04,10489.6
2021-11-05,10596.03
2021-11-08,10576.74
2021-11-09,10669.99
2021-11-10,10460.87
2021-11-11,10594.66
2021-11-12,10683.22
2021-11-15,10724.93
2021-11-16,10846.47
2021-11-17,10599.23
2021-11-18,10803.01
2021-11-19,10523.22
2021-11-22,10670.52
2021-11-23,10518.15
2021-11-24,10369.95
2021-11-26,10127.04
2021-11-29,10063.92
2021-11-30,9780.51
2021-12-01,9460.19
2021-12-02,9642.78
2021-12-03,9466.11
2021-12-06,9643.78
2021-12-07,9851.63
2021-12-08,9796.96
2021-12-09,9622.15
2021-12-10,9618
2021-12-13,9310.26
2021-12-14,9301.12
2021-12-15,9377.82
2021-12-16,9106.19
2021-12-17,9146.93
2021-12-20,8934.61
2021-12-21,9221.91
2021-12-22,9233.23
2021-12-23,9319.36
2021-12-27,9422.7
2021-12-28,9378.18
2021-12-29,9444.13
2021-12-30,9547.6
2021-12-31,9486.21
2022-01-03,9611.88
2022-01-04,9543.19
2022-01-05,9211.03
2022-01-06,9275.56
2022-01-07,9165.57
2022-01-10,9005.7
2022-01-11,9156.57
2022-01-12,9046.09
2022-01-13,8971.07
2022-01-14,8792.18
2022-01-18,8597.11
2022-01-19,8535.31
2022-01-20,8243.66
2022-01-21,8123.57
2022-01-24,8615.04
2022-01-25,8468.65
2022-01-26,8248.65
2022-01-27,8179.68
2022-01-28,8258.53
2022-01-31,8579.19
2022-02-01,8692.87
2022-02-02,8451.55
2022-02-03,8220.02
2022-02-04,8241.76
2022-02-07,8280.77
2022-02-08,8516.62
2022-02-09,8697.4
2022-02-10,8502.46
2022-02-11,8340.12
2022-02-14,8286.47
2022-02-15,8568.7
2022-02-16,8462.41
2022-02-17,8243.37
2022-02-18,8173.45
2022-02-22,7859.04
2022-02-23,7669.55
2022-02-24,7969.94
2022-02-25,8108.54
2022-02-28,8104.1
2022-03-01,7901.34
2022-03-02,8181.17
2022-03-03,8082.38
2022-03-04,7918.04
2022-03-07,7574.14
2022-03-08,7741.58
2022-03-09,7892.4
2022-03-10,7888.54
2022-03-11,7680.66
2022-03-14,7596.06
2022-03-15,7814.55
2022-03-16,8115.55
2022-03-17,8242.31
2022-03-18,8346.89
2022-03-21,8150.96
2022-03-22,8334.86
2022-03-23,8159.88
2022-03-24,8246.15
2022-03-25,8134.04
2022-03-28,8217.63
2022-03-29,8546.1
2022-03-30,8171.2
2022-03-31,7922.88
2022-04-01,7901.5
2022-04-04,8113.77
2022-04-05,7946.66
2022-04-06,7816.76
2022-04-07,7859.35
2022-04-08,7956.68
2022-04-11,7974.81
2022-04-12,7925.7
2022-04-13,8096.86
2022-04-14,8017.41
2022-04-18,7949.51
2022-04-19,8256.64
2022-04-20,8136.08
2022-04-21,7963.38
2022-04-22,7649.09
2022-04-25,7774.05
2022-04-26,7508.64
2022-04-27,7483.29
2022-04-28,7637.14
2022-04-29,7363.18
2022-05-02,7586.17
2022-05-03,7619.45
2022-05-04,7825.4
2022-05-05,7454.05
2022-05-06,7276.35
2022-05-09,7032.95
2022-05-10,6914.27
2022-05-11,6646.17
2022-05-12,6871.96
2022-05-13,7094.04
